name,state,lat,lon
Abercrombie,ND,46.447035,-96.729649
Adams,ND,48.420545,-98.073958
Alamo,ND,48.581977,-103.467443
Alexander,ND,47.838058,-103.643203
Alice,ND,46.760046,-97.556248
Almont,ND,46.728335,-101.502652
Alsen,ND,48.630456,-98.704271
Ambrose,ND,48.955902,-103.481255
Amenia,ND,47.006485,-97.224104
Amidon,ND,46.482247,-103.319601
Anamoose,ND,47.883068,-100.24226
Aneta,ND,47.679719,-97.988984
Antler,ND,48.971319,-101.283164
Apple Valley,ND,46.820971,-100.599484
Ardoch,ND,48.205446,-97.338033
Argusville,ND,47.050068,-96.943141
Arnegard,ND,47.806523,-103.442573
Arthur,ND,47.104268,-97.218355
Ashley,ND,46.034744,-99.373677
Auburn,ND,48.506563,-97.436844
Ayr,ND,47.041107,-97.490932
Balfour,ND,47.950908,-100.534257
Balta,ND,48.166169,-100.036646
Bantry,ND,48.494254,-100.614696
Barney,ND,46.265844,-96.998834
Barton,ND,48.508788,-100.173821
Bathgate,ND,48.880411,-97.473862
Beach,ND,46.918747,-104.005446
Belcourt,ND,48.842494,-99.744164
Belfield,ND,46.886789,-103.195481
Benedict,ND,47.830132,-101.084323
Bergen,ND,48.003724,-100.719893
Berlin,ND,46.378373,-98.488447
Berthold,ND,48.314136,-101.759023
Beulah,ND,47.266826,-101.770684
Binford,ND,47.560424,-98.345628
Bisbee,ND,48.62721,-99.378773
Bismarck,ND,46.814583,-100.770089
Blacktail,ND,48.432108,-103.73969
Blanchard,ND,47.343084,-97.223124
Bottineau,ND,48.824799,-100.442522
Bowbells,ND,48.802179,-102.245832
Bowdon,ND,47.468514,-99.708868
Bowman,ND,46.184324,-103.402946
Braddock,ND,46.563978,-100.089639
Briarwood,ND,46.787002,-96.794771
Brinsmade,ND,48.183979,-99.323639
Brocket,ND,48.210813,-98.355405
Brooktree Park,ND,47.003884,-96.895693
Buchanan,ND,47.062599,-98.829018
Bucyrus,ND,46.06457,-102.788317
Buffalo,ND,46.91926,-97.550619
Burlington,ND,48.257173,-101.41455
Butte,ND,47.836968,-100.665841
Buxton,ND,47.602065,-97.097519
Caledonia,ND,47.457677,-96.889141
Calio,ND,48.62377,-98.938381
Calvin,ND,48.851849,-98.938021
Cando,ND,48.487221,-99.202471
Cannon Ball,ND,46.323693,-100.629428
Canton City (Hensel),ND,48.688034,-97.666135
Carpio,ND,48.443445,-101.716317
